epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.29155,1.53353,2.8016,1.70285,0.02049,0.52929,0.25069,0.10792,1.57462,3.36401,1.66766,0.000453651,0.000453651,0.000453651
2,16.039,1.50449,1.91999,1.67115,0.67945,0.17829,0.19997,0.09157,1.77213,2.96781,1.878,0.000920777,0.000920777,0.000920777
3,23.6848,1.46223,1.75693,1.63792,0.53246,0.50796,0.56395,0.303,1.69345,2.16037,1.75974,0.00137847,0.00137847,0.00137847
4,31.5184,1.46505,1.71051,1.64746,0.39748,0.32016,0.34557,0.12735,2.02143,2.40241,2.24033,0.00138656,0.00138656,0.00138656
5,39.4851,1.43125,1.64385,1.60005,0.41918,0.37434,0.34478,0.15472,1.98255,2.14986,2.25734,0.00137241,0.00137241,0.00137241
6,47.6308,1.39218,1.57119,1.59007,0.56834,0.58783,0.50675,0.2361,1.78752,1.89322,1.84706,0.00135826,0.00135826,0.00135826
7,57.5696,1.39364,1.4995,1.55684,0.59922,0.61688,0.62874,0.28284,1.8227,1.73878,1.95713,0.00134412,0.00134412,0.00134412
8,69.8671,1.34035,1.43134,1.54597,0.7348,0.65435,0.72178,0.31504,1.82169,1.54464,1.91748,0.00132997,0.00132997,0.00132997
9,82.8097,1.31288,1.39819,1.52496,0.6988,0.54912,0.60348,0.26946,1.94901,1.57721,2.0339,0.00131582,0.00131582,0.00131582
10,95.4086,1.37203,1.39174,1.56078,0.66206,0.61501,0.6589,0.28811,1.91517,1.63498,2.03975,0.00130168,0.00130168,0.00130168
11,107.713,1.29451,1.35413,1.50131,0.73412,0.64865,0.74778,0.33163,1.82803,1.56713,1.84334,0.00128753,0.00128753,0.00128753
12,120.066,1.28767,1.38067,1.51544,0.71717,0.62201,0.67544,0.30023,1.83336,1.46818,1.92315,0.00127338,0.00127338,0.00127338
13,132.344,1.26642,1.27332,1.47984,0.65417,0.58038,0.67811,0.2867,2.03868,1.53561,2.01113,0.00125923,0.00125923,0.00125923
14,144.368,1.27976,1.24454,1.4729,0.61367,0.76532,0.77367,0.33992,1.89211,1.57138,1.86906,0.00124509,0.00124509,0.00124509
15,156.871,1.19762,1.18341,1.43822,0.69841,0.69147,0.71846,0.29863,1.98288,1.53446,1.89079,0.00123094,0.00123094,0.00123094
16,169.452,1.16222,1.17243,1.4265,0.6583,0.63824,0.68116,0.28532,1.89273,1.47846,1.85389,0.00121679,0.00121679,0.00121679
17,181.849,1.20377,1.15383,1.42659,0.57554,0.59514,0.60496,0.26325,1.969,1.63853,1.85881,0.00120265,0.00120265,0.00120265
18,192.09,1.23831,1.15575,1.44468,0.84401,0.50908,0.66818,0.26205,1.89031,1.58658,1.89357,0.0011885,0.0011885,0.0011885
19,200.127,1.17173,1.15355,1.42507,0.60669,0.47768,0.53472,0.24491,2.02043,1.69834,2.09334,0.00117435,0.00117435,0.00117435
20,208.147,1.16555,1.13536,1.40774,0.78403,0.4258,0.60177,0.29803,1.82974,1.55705,1.86578,0.00116021,0.00116021,0.00116021
21,216.184,1.16728,1.09257,1.40181,0.53106,0.65488,0.63733,0.30465,1.83564,1.45876,2.01655,0.00114606,0.00114606,0.00114606
22,224.301,1.15935,1.08906,1.41268,0.60981,0.65604,0.64307,0.30689,1.87189,1.47211,1.96264,0.00113191,0.00113191,0.00113191
23,232.44,1.15331,1.05187,1.38781,0.67699,0.68338,0.77739,0.37131,1.66032,1.51257,1.69692,0.00111776,0.00111776,0.00111776
24,240.623,1.11423,1.03687,1.38694,0.69021,0.76655,0.77545,0.40365,1.72104,1.35135,1.76881,0.00110362,0.00110362,0.00110362
25,248.846,1.11375,1.04834,1.39141,0.6245,0.71717,0.74784,0.34163,1.8293,1.24546,1.85108,0.00108947,0.00108947,0.00108947
26,259.137,1.07614,1.00765,1.34942,0.63977,0.67042,0.68365,0.32965,1.85385,1.4376,1.80571,0.00107532,0.00107532,0.00107532
27,268.441,1.1023,1.00258,1.36177,0.74988,0.65367,0.78153,0.39677,1.77373,1.2715,1.8019,0.00106118,0.00106118,0.00106118
28,276.536,1.1048,1.0056,1.34966,0.83532,0.68105,0.82532,0.37485,1.74708,1.13817,1.808,0.00104703,0.00104703,0.00104703
29,284.338,1.08969,0.95223,1.34803,0.75096,0.73825,0.80942,0.41134,1.68244,1.1341,1.73154,0.00103288,0.00103288,0.00103288
30,292.442,1.07195,0.96489,1.33766,0.79906,0.7717,0.81052,0.38578,1.71692,1.18865,1.75625,0.00101873,0.00101873,0.00101873
31,300.242,1.05553,0.94664,1.33314,0.75217,0.72886,0.74971,0.38059,1.7783,1.19469,1.82588,0.00100459,0.00100459,0.00100459
32,307.901,1.08552,0.94407,1.31635,0.62216,0.65905,0.7038,0.36163,1.67567,1.36813,1.74044,0.00099044,0.00099044,0.00099044
33,315.529,1.03262,0.90287,1.30554,0.75046,0.86378,0.85432,0.4243,1.66125,1.11985,1.70628,0.000976293,0.000976293,0.000976293
34,323.166,1.03549,0.92395,1.312,0.75823,0.78644,0.82604,0.41795,1.69022,1.13958,1.74496,0.000962146,0.000962146,0.000962146
35,330.744,1.03596,0.90613,1.30758,0.69782,0.72934,0.71063,0.3578,1.7642,1.24734,1.83028,0.000947999,0.000947999,0.000947999
36,338.311,1.01048,0.85582,1.28399,0.72446,0.67436,0.70725,0.32088,1.8025,1.25898,1.82197,0.000933851,0.000933851,0.000933851
37,345.949,1.00081,0.8573,1.28919,0.65668,0.73841,0.74246,0.37071,1.79586,1.35891,1.84538,0.000919704,0.000919704,0.000919704
38,353.496,1.01786,0.86518,1.28444,0.67631,0.68308,0.70785,0.3141,1.83843,1.27914,1.87245,0.000905557,0.000905557,0.000905557
39,361.162,1.03202,0.85844,1.29651,0.70469,0.80789,0.77976,0.40668,1.65801,1.08675,1.72696,0.00089141,0.00089141,0.00089141
40,368.74,1.00329,0.84592,1.26749,0.67459,0.79943,0.75047,0.35984,1.72279,1.2724,1.76516,0.000877263,0.000877263,0.000877263
41,376.415,0.99695,0.86364,1.27312,0.65917,0.76079,0.72393,0.34624,1.75959,1.25133,1.75029,0.000863116,0.000863116,0.000863116
42,383.967,0.94428,0.80743,1.24553,0.75513,0.83997,0.85508,0.38748,1.7847,1.10838,1.79309,0.000848969,0.000848969,0.000848969
43,391.57,0.95563,0.8212,1.26556,0.79019,0.68817,0.75726,0.34768,1.85159,1.24886,1.92249,0.000834822,0.000834822,0.000834822
44,399.24,0.9792,0.80415,1.26933,0.75062,0.71069,0.74536,0.33612,1.8235,1.15498,1.87978,0.000820675,0.000820675,0.000820675
45,406.887,0.94212,0.78707,1.255,0.83456,0.70851,0.79439,0.40998,1.64677,1.10111,1.6703,0.000806528,0.000806528,0.000806528
46,414.539,0.95199,0.7999,1.25692,0.89336,0.71618,0.82657,0.42247,1.66408,1.01979,1.71951,0.00079238,0.00079238,0.00079238
47,422.203,0.95726,0.78692,1.24396,0.82305,0.6022,0.75662,0.34487,1.91161,1.32926,1.91248,0.000778233,0.000778233,0.000778233
48,429.853,0.9214,0.76261,1.2281,0.75847,0.78885,0.80244,0.3894,1.71977,1.17372,1.76921,0.000764086,0.000764086,0.000764086
49,437.441,0.92808,0.76981,1.23803,0.8182,0.77295,0.84267,0.42084,1.64135,1.108,1.68033,0.000749939,0.000749939,0.000749939
50,445.031,0.90552,0.76281,1.24046,0.81662,0.79129,0.84472,0.42184,1.61405,1.0545,1.65383,0.000735792,0.000735792,0.000735792
51,452.666,0.86163,0.71293,1.19622,0.89472,0.68297,0.8013,0.40493,1.68587,1.14243,1.69944,0.000721645,0.000721645,0.000721645
52,460.357,0.90696,0.73291,1.21359,0.78848,0.75409,0.80879,0.42594,1.70546,1.15678,1.73177,0.000707498,0.000707498,0.000707498
53,467.996,0.86833,0.7059,1.18186,0.74916,0.82505,0.83408,0.41272,1.77099,1.21783,1.81741,0.000693351,0.000693351,0.000693351
54,475.677,0.894,0.73847,1.20906,0.74571,0.78484,0.80706,0.40411,1.68577,1.20951,1.76479,0.000679204,0.000679204,0.000679204
55,483.296,0.8883,0.74703,1.22408,0.81445,0.69628,0.81193,0.42857,1.66723,1.13993,1.76037,0.000665057,0.000665057,0.000665057
56,491.008,0.8733,0.70569,1.19425,0.8686,0.78021,0.88279,0.44922,1.69262,1.0095,1.8109,0.000650909,0.000650909,0.000650909
57,498.716,0.85927,0.69978,1.18413,0.78201,0.75188,0.84407,0.45461,1.67619,1.05408,1.80436,0.000636762,0.000636762,0.000636762
58,506.43,0.85698,0.70249,1.22245,0.70639,0.74824,0.7806,0.42261,1.64892,1.07772,1.75105,0.000622615,0.000622615,0.000622615
59,514.046,0.85694,0.69076,1.17979,0.78769,0.85471,0.84106,0.44394,1.60221,1.08232,1.66314,0.000608468,0.000608468,0.000608468
60,521.686,0.85727,0.71221,1.20598,0.84254,0.79333,0.84917,0.44171,1.66665,1.02977,1.72936,0.000594321,0.000594321,0.000594321
61,529.411,0.86665,0.71244,1.19539,0.75033,0.78885,0.81877,0.40418,1.67367,1.14194,1.74716,0.000580174,0.000580174,0.000580174
62,537.612,0.8329,0.69536,1.18548,0.792,0.85661,0.85648,0.42278,1.66612,0.98077,1.72918,0.000566027,0.000566027,0.000566027
63,545.772,0.84691,0.68605,1.16699,0.75567,0.87287,0.87831,0.44536,1.66846,0.99443,1.72847,0.00055188,0.00055188,0.00055188
